green_color,red_color,infrared_color,de_vaucouleurs_fit_axial_ratio,exponential_fit_axial_ratio,exponential_disc_fit_log_likelihood,de_vaucouleurs_fit_log_likelihood,star_log_likelihood,number_of_votes,probability_elliptical,probability_spiral,probability_unknown,probability_merger,class
17.95269,17.07721,16.696932,0.6520439,0.67489874,-299.83917,-147.78073,-2480.1614,30,0.032999999821186066,0.9330000281333924,0.032999999821186066,0.0,spiral
15.870294,15.128039000000001,14.746254,0.6618437,0.6311449,-4980.442,-2094.2463,-41855.164,58,0.0,1.0,0.0,0.0,spiral
16.47341,15.633129,15.174894,0.32488844,0.3563531,-3732.989,-946.47595,-26244.611,43,0.1860000044107437,0.7440000176429749,0.07000000029802322,0.0,spiral
17.137112,16.744455,16.542747,0.58204544,0.6566385,-33.33683,-587.2238,-4487.762,63,0.1430000066757202,0.8100000023841858,0.04800000041723251,0.0,spiral
17.995703,17.621641,17.377476,0.4499175,0.46235207,-26.84463,-130.57242,-2392.154,42,0.16699999570846558,0.7379999756813049,0.07100000232458115,0.024000000208616257,spiral
15.341651,14.63851,14.266982999999998,0.6880189,0.57918346,-10856.616000000002,-3840.2246,-54777.437999999995,75,0.0130000002682209,0.959999978542328,0.0,0.027000000700354576,spiral
17.36029,16.648764,16.213043,0.44550264,0.46049893,-374.15222,-1732.9475,-15737.016000000001,60,0.16699999570846558,0.7329999804496765,0.032999999821186066,0.06700000166893005,spiral
17.3356,16.760256,16.400938,0.9495776,0.9884928,-104.60427,-1433.5952,-13016.671,27,0.3330000042915344,0.6669999957084656,0.0,0.0,spiral
17.649212,17.022848,16.710484,0.62946725,0.6499974000000001,-127.099556,-1333.1261,-10817.645,22,0.13600000739097595,0.8640000224113464,0.0,0.0,spiral
18.063328,17.378187,16.951964999999998,0.5421451999999999,0.610058,-191.12656,-152.11816000000005,-5604.1304,35,0.4000000059604645,0.5139999985694885,0.05700000002980232,0.028999999165534977,spiral
16.547375,15.714498,15.313203,0.55649143,0.5185082000000001,-6310.2104,-741.3543,-25642.855,45,0.289000004529953,0.7110000252723694,0.0,0.0,spiral
15.775945000000002,15.227017000000002,15.011837,0.41233447,0.41942796,-2611.13,-2139.0828,-37401.934,67,0.40299999713897705,0.5519999861717224,0.014999999664723871,0.029999999329447743,spiral
17.706851999999994,16.937513,16.528392999999998,0.85135466,0.8788858,-378.0806,-906.36554,-14358.433,54,0.22200000286102287,0.777999997138977,0.0,0.0,spiral
16.649608999999998,16.347357000000002,16.18887,0.49470043,0.49399084,-388.28033,-1342.9789,-11949.016000000001,34,0.1469999998807907,0.7940000295639038,0.028999999165534977,0.028999999165534977,spiral
17.09614,16.66431,16.367748000000002,0.8597286,0.8394386999999999,-382.91324,-1062.8307,-15149.271999999999,61,0.13099999725818634,0.8360000252723694,0.032999999821186066,0.0,spiral
17.903635,17.024015,16.602068,0.69999945,0.6584460999999999,-595.45715,-204.5297,-4828.5059999999985,33,0.21199999749660486,0.6970000267028809,0.029999999329447743,0.061000000685453415,spiral
17.774725,17.141956,16.736576,0.30338964,0.33936550000000004,-184.5004,-401.36176,-10424.155,55,0.12700000405311584,0.8550000190734863,0.0,0.017999999225139618,spiral
16.378792,15.516563,15.112964000000002,0.30750883,0.38608465,-5883.3647,-1116.3876,-33424.5,39,0.15399999916553495,0.8209999799728394,0.026000000536441803,0.0,spiral
17.36194,17.025316,16.775854000000002,0.7926831,0.80250174,-162.4863,-1189.1602,-7418.271,20,0.3499999940395355,0.550000011920929,0.05000000074505806,0.05000000074505806,spiral
13.49221,13.116052,12.856867999999999,0.9791941999999999,0.20411567,-718.10767,-27983.537,-61559.535,19,0.10499999672174454,0.7889999747276306,0.05299999937415123,0.05299999937415123,spiral
15.648179999999998,15.162096,14.866743,0.8836898999999999,0.83425266,-2584.788,-1665.0582,-27404.292999999998,57,0.017999999225139618,0.9819999933242798,0.0,0.0,spiral
16.500923,15.713107,15.364335,0.8843306000000001,0.8670211999999999,-1963.5085,-1290.487,-25968.014,54,0.3700000047683716,0.5559999942779541,0.07400000095367433,0.0,spiral
15.605813000000001,15.012307,14.71031,0.840133,0.85840195,-1096.3224,-9276.481,-62496.87,32,0.03099999949336052,0.968999981880188,0.0,0.0,spiral
17.292995,16.938597,16.73556,0.72468257,0.7640691,-208.38107,-353.22647,-3890.7446,32,0.06199999898672104,0.8119999766349792,0.125,0.0,spiral
16.335724,15.358325,14.879095999999999,0.3548035,0.3941878,-3891.4766,-238.26417999999998,-32097.256,32,0.375,0.625,0.0,0.0,spiral
17.218937,16.353144,15.856431,0.117935434,0.1279528,-258.4425,-800.0882,-14219.535,23,0.08699999749660492,0.912999987602234,0.0,0.0,spiral
17.291662,17.107029,17.147142000000002,0.2000034,0.21566246,-60.60561800000001,-239.76552,-1406.7537,33,0.029999999329447743,0.9089999794960022,0.061000000685453415,0.0,spiral
16.158348,15.443318,15.071573999999998,0.35519016,0.35258758,-633.1831,-3025.4321,-42417.984000000004,26,0.15399999916553495,0.8080000281333923,0.03799999877810478,0.0,spiral
15.153439,15.005956,15.155532000000001,0.9316546,0.82987463,-1278.2198,-513.572,-17890.843999999994,63,0.04800000041723251,0.8889999985694885,0.04800000041723251,0.016000000759959214,spiral
17.446554000000006,17.031353,16.73423,0.72762984,0.7177156,-97.93242,-544.32947,-6341.85,24,0.16699999570846558,0.7080000042915344,0.08299999684095383,0.04199999943375588,spiral
